id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply
PLfGskds,True,1500891764061.0,1500892037902.0,50,mate,black,5+8,diegolivo,1196,clash_royale,1549,e4 g6 e5 Bg7 d4 d6 Bc4 dxe5 Qf3 e6 Nh3 exd4 Ng5 Nf6 O-O O-O a4 a6 Ra3 b5 Qxa8 bxc4 Rh3 Nbd7 Rh4 d3 cxd3 cxd3 Qf3 h6 Ne4 Nxe4 Bxh6 Bxh6 Rxh6 Ndf6 Qxe4 Nxe4 Re1 d2 Nxd2 Qxd2 Rxe4 Qd1+ Re1 Rd8 g3 Bb7 Rxd1 Rxd1#,B06,Modern Defense,2
1vLLQBh7,True,1476380000000.0,1476380000000.0,8,resign,black,10+0,b6a8h,1576,vastas,1636,b4 d5 g3 e5 Bg2 Nf6 Nc3 Bxb4,A00,Hungarian Opening: Buecker Gambit,5
bubeMcp6,True,1501670000000.0,1501670000000.0,17,resign,white,10+0,gucanni,1586,kyanh,1473,Nf3 d5 d4 Nf6 Bf4 Bf5 e3 c5 c3 Nc6 Nbd2 Qb6 b3 e6 Rc1 Be7 Be2,D02,Queen's Pawn Game: London System,5
PSRAA6C5,True,1494820000000.0,1494820000000.0,104,resign,black,10+0,butterlandz,1340,luandson,1433,d4 d5 g3 e6 Nf3 c6 Bg2 Bd6 O-O Nf6 Bf4 Bxf4 gxf4 Ng4 h3 Nh6 Ne5 O-O Nc3 Nd7 e3 b6 Nxc6 Qf6 Qe2 Qh4 Nb5 Ba6 Nc7 Bxe2 Nxa8 Bxf1 Bxf1 e5 fxe5 Rxa8 Bg2 Nxe5 Nxe5 Nf5 Bxd5 Nxe3 Bxa8 Qg5+ Ng4 Nxg4 hxg4 Qxg4+ Bg2 f5 Re1 Kf7 f3 Qg3 Kf1 h5 f4 Qxf4+ Kg1 Qxd4+ Kf1 Qxb2 Bd5+ Kf8 Re6 Qb5+ Ke1 Qxd5 Re2 Qxa2 Rd2 Qa5 Kd1 h4 Rd8+ Ke7 Rh8 g5 Rh5 Ke6 Rxg5 b5 Rh5 Qc3 Rxh4 a5 Rf4 Ke5 Rf1 a4 Ke2 Qxc2+ Ke1 a3 Rf2 Qxf2+ Kxf2 a2 Ke2 b4 Kd3 a1=Q Kc4 Qa5,D00,Queen's Pawn Game,2
3DCt0xRQ,True,1504010000000.0,1504010000000.0,119,resign,white,5+5,reza_58,1951,vchess4,1894,c4 d6 Nc3 e6 g3 c6 Bg2 h6 Nf3 e5 d3 Bf5 Bd2 Nf6 Nh4 Bh7 O-O g5 Nf3 Be7 Ne1 Nfd7 e4 h5 h3 Bg6 Qc1 f5 Qd1 f4 Qb3 Nc5 Qc2 fxg3 fxg3 Nbd7 b4 Ne6 Ne2 Qb6+ Kh2 h4 g4 Nf4 Nxf4 gxf4 Nf3 O-O-O Rab1 Nf6 a4 Qc7 Rfc1 Qd7 Rg1 Kb8 Bf1 Nh7 a5 Ng5 Be2 a6 Nxg5 Bxg5 Bf3 d5 cxd5 cxd5 Qc5 dxe4 Qxe5+ Ka8 Qxg5 exf3 Qxg6 f2 Rgf1 f3 Bf4 Rdf8 Bd6 Rhg8 Qh6 Rd8 Rxf2 Qxd6+ Qxd6 Rxd6 Rxf3 Rgd8 Rd1 Rd4 g5 Rxb4 g6 Rg8 Rf6 Rb2+ Kh1 Rb5 d4 Rxa5 d5 Rc5 d6 Rc6 Rg1 Ka7 g7 a5 Rf8 Rc8 Rxc8 Rxc8 g8=Q Rxg8 Rxg8 a4 d7,A10,English Opening,1
1679CyqT,True,1502914902908.0,1502915770665.0,96,outoftime,black,10+0,balikoevsd,1931,loukas435,1790,e4 d6 d4 Nf6 Bd3 g6 Ne2 Bg7 O-O O-O c4 Nfd7 f4 e5 fxe5 dxe5 d5 Nc5 Bc2 a5 Nbc3 Bg4 h3 Bxe2 Nxe2 Nbd7 a3 Qh4 Nc3 Nf6 Qe2 Nh5 Rf3 Ng3 Qe1 Nf5 Qxh4 Nxh4 Rf2 g5 g3 Ng6 Bxg5 Rae8 Raf1 f6 Be3 Nd7 Nb5 Rc8 b4 axb4 axb4 c6 Nd6 Rc7 Bb6 Nxb6 c5 Nc8 Bb3 Kh8 Nf5 Rd7 d6 b6 h4 Rfd8 Be6 Ra7 h5 Nf8 Bxc8 Rxc8 h6 Bxh6 Nxh6 Nd7 g4 bxc5 bxc5 Nxc5 Rxf6 Nxe4 Re6 c5 Nf5 Ng5 Rxe5 c4 Ne7 c3 Nxc8 Ra8 d7 Nf7,B07,Pirc Defense,4
wP21dJIn,True,1473690000000.0,1473690000000.0,50,mate,black,5+8,fox26666,1294,swaltersson,1804,e4 e5 Nf3 Nc6 Nc3 Nf6 Bc4 Bc5 d3 h6 O-O d6 b4 Bxb4 Qd2 Bc5 Re1 O-O Nd5 Nxd5 exd5 Nd4 Nxe5 dxe5 Rxe5 Re8 Re4 Rxe4 dxe4 a6 Bb2 Nb5 Qf4 Qe7 Bxb5 axb5 Re1 Rxa2 Bc3 Rxc2 Be5 Bxf2+ Kf1 Bxe1 Kxe1 Qb4+ Kd1 Qb1+ Qc1 Qxc1#,C50,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,9
ad9N5et8,True,1484621855725.0,1484622819104.0,58,mate,black,10+0,ydnydn,1461,eder98765,1455,e4 e5 Qf3 Nc6 Nc3 d6 Bb5 Bd7 Nge2 Nf6 d4 exd4 Nd5 Nxd5 exd5 Ne5 Qg3 Bxb5 f4 Nd7 Nxd4 Qe7+ Be3 Ba6 Nf5 Qf6 Bd4 Qxf5 O-O-O O-O-O Rhe1 Nf6 Bxa7 Ne4 Qe3 Re8 Rd4 Nf6 Qd2 Rxe1+ Qxe1 b6 c4 g6 b4 Bg7 b5 Re8 Qd2 Ne4 Rxe4 Qxe4 bxa6 Qxc4+ Qc2 Re1+ Kd2 Qe2#,C20,King's Pawn Game: Napoleon Attack,3
nVlVhgF1,True,1443240000000.0,1443240000000.0,66,resign,black,15+0,arquerosolo,1697,elcidestaron,1770,e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Bd7 Bg5 Qb6 Bc1 Nge7 a4 Nf5 Na3 a6 g4 Nfe7 dxc5 Qxc5 Be3 Qa5 b4 Qc7 b5 Nxe5 b6 Nxf3+ Qxf3 Qxc3+ Ke2 Qxa1 Nc2 Qxa4 Nd4 Bb5+ Ke1 Qa1+ Kd2 Bxf1 Nc2 Qa5+ Kd1 Bd3 Bc5 Qxc5 Qxd3 Ng6 Re1 Bd6 Nd4 O-O h4 Ne5 Qd2 Nc4 Qc3 Rac8 Ke2 Be5 Kd3 Bxd4 Qxd4 Qxd4+,C02,French Defense: Advance Variation |  Euwe Variation,10
27EQVgSY,True,1495959835864.0,1495960638786.0,85,mate,white,10+0,apalin,1902,jossit,1706,e4 c5 Nf3 Nc6 c3 e5 Bc4 h6 O-O Nf6 d3 Be7 a4 a6 h3 O-O Be3 Na5 Ba2 b5 axb5 axb5 Na3 Ba6 Nxe5 d6 Ng6 Re8 Nxe7+ Rxe7 f4 Qc7 b4 Nb7 Qf3 Rae8 Nc2 Nd8 Bxf7+ Kxf7 Rxa6 cxb4 Nxb4 Qxc3 Rb1 Nb7 Bf2 Nd7 Nd5 Qc2 Qd1 Qxd1+ Rxd1 Ndc5 Nxe7 Nxa6 Nd5 Nac5 Nc7 Re7 Nxb5 d5 Bxc5 Nxc5 e5 Ke6 Nd4+ Kd7 Kf2 Rf7 Ke3 g5 g3 gxf4+ gxf4 Rg7 Kf3 Ne6 Nxe6 Kxe6 Ra1 Kf5 Ra6 h5 Rf6#,B30,Sicilian Defense: Old Sicilian,4
NwBz5JK1,True,1502990137786.0,1502990555823.0,45,resign,black,10+0,curvyhat,1810,jasthewas,1700,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 Nf6 d3 h6 b4 Bb6 a4 a6 Nbd2 d6 h3 Be6 Bb3 O-O Bc4 d5 exd5 Nxd5 Qb3 Nf4 O-O Bxc4 Nxc4 Qxd3 Ncxe5 Nxe5 Nxe5 Ne2+ Kh1 Qf5 Nf3 Rfe8 Ba3 Nf4 Kh2 Nxh3 Nh4 Qg4 g3,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,9
VI2cow8L,True,1503128742738.0,1503129230678.0,23,resign,white,15+15,ciji,1506,mrjv,1476,d4 Nf6 c4 e6 Nc3 d5 Bf4 Nc6 Nf3 Bd6 Be5 Bxe5 dxe5 Ng4 cxd5 exd5 Qxd5 Be6 Qe4 O-O Rd1 Qe7 Nd5,D35,Queen's Gambit Declined: Harrwitz Attack,7
HFffVCEe,True,1493924711881.0,1493925473306.0,70,mate,black,10+0,andreastorch,1029,ekko99,1753,Nh3 e5 f4 exf4 Nxf4 Qh4+ g3 Qf6 Bg2 Ne7 b3 d5 Bb2 Qxb2 Nc3 Qa3 Ncxd5 Nxd5 Nxd5 Be6 Qc1 Qc5 c4 g6 Nxc7+ Qxc7 O-O Bg7 Rb1 Bf5 e4 Qc5+ Kh1 Be6 e5 Nc6 Bxc6+ Qxc6+ Kg1 Rc8 d4 Bh3 d5 Qc5+ Kh1 Bxf1 Qxf1 Bxe5 Rd1 O-O h4 Bxg3 Rd3 Bxh4 Rf3 Rce8 Qh3 Re1+ Kg2 Re2+ Kf1 Rfe8 Qxh4 Re1+ Kg2 R8e2+ Kg3 Qg1+ Kf4 Re4#,E00,Amar Opening,1
vp2hfyqH,True,1486920000000.0,1486920000000.0,45,mate,white,15+0,nano51,1513,misfox,1197,d4 e6 c4 Nf6 Nf3 d6 Bg5 h6 Bxf6 Qxf6 Nbd2 e5 Ne4 Qe6 dxe5 dxe5 e3 Qg6 Nc3 a5 Nxe5 Qe6 Qd5 Qd6 Qxf7+ Kd8 Qf4 Qe7 Nd5 Qb4+ Nc3 Qxb2 Rd1+ Bd6 Nf7+ Ke7 Nd5+ Kf8 Nxd6+ Kg8 Qf7+ Kh7 Bd3+ Bf5 Bxf5#,E10,Indian Game: Anti-Nimzo-Indian,5
wtfZlRGa,True,1478460000000.0,1478460000000.0,23,resign,white,30+0,turgaycanoglu,1553,smartguy101,1008,e4 e5 Nf3 d6 h4 Nc6 c3 Nf6 Ng5 Nxe4 Nxe4 f5 Ng3 f4 Ne4 d5 Ng5 h6 Qh5+ g6 Qxg6+ Ke7 Qf7+,C41,Philidor Defense #2,4
RyXZUOxL,True,1396158429073.0,1396159323775.0,117,mate,white,10+15,vladimir-kramnik-1,1595,fruztasi,1583,e4 e5 Nf3 Nc6 Bb5 Qf6 Nc3 a6 Ba4 b5 Bb3 Nge7 Nd5 Qd6 d3 Na5 Bd2 Nxb3 axb3 Nxd5 exd5 Qxd5 O-O Bb7 Rfe1 d6 d4 f6 Bf4 Be7 dxe5 Qxd1 Raxd1 dxe5 Bg3 Bxf3 gxf3 O-O f4 exf4 Rxe7 fxg3 hxg3 Rf7 Rxf7 Kxf7 Rd7+ Kg6 Rxc7 h5 Rc5 f5 f3 Kh6 Rxf5 g6 Rc5 Rd8 Kg2 Rd2+ Kh3 Rf2 f4 Rd2 Rc3 Rd1 Rc6 Rb1 Rxa6 Rxb2 Rc6 b4 g4 hxg4+ Kxg4 Rb1 Rc4 Rg1+ Kf3 Rf1+ Kg2 Rc1 Kf3 Kh5 Rc5+ Kh4 Rc4 Kh3 Ke4 Kg3 Kd5 Kf3 Kc5 Rxc2 Rxc2 Kxf4 Kxb4 g5 Kc4 g4 b4 Ke5 b5 Kd6 Rg2 Kc7 Rxg4 Kb6 Rg6+ Kc7 Kc5 Kb7 b6 Kb8 Kc6 Kc8 Rg8#,C60,Ruy Lopez,5
hV6rTsnf,True,1504300000000.0,1504300000000.0,33,resign,white,15+0,oggy04,1930,apis16,1850,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e5 Nb5 d6 c4 a6 N5c3 b6 Nd5 Nf6 Nbc3 Be6 Bg5 Be7 Bxf6 gxf6 Qa4 Bd7 Qa3 Nd4 O-O-O b5 Nxe7 Kxe7 Nd5+ Ke6 Qh3+,B32,Sicilian Defense: Kalashnikov Variation,10
BGjZxy4P,True,1458860000000.0,1458860000000.0,118,resign,black,12+10,alanogier,1838,jdbarger,1846,d4 d5 Bf4 e6 Nf3 c5 c3 Nc6 e3 Bd7 Bd3 Qb6 Qc2 Nge7 O-O Ng6 Bg5 c4 Be2 Be7 Nbd2 O-O e4 dxe4 Nxe4 Qc7 Bxe7 Ngxe7 Nc5 Ng6 Bxc4 b6 Nxd7 Qxd7 Bb5 a6 Ne5 Nxd4 Nxd7 Nxc2 Nxf8 Nxa1 Nxg6 hxg6 Bd3 Rd8 Be4 f5 Bb1 Rd2 f4 Rxb2 Bd3 Nc2 Bxc2 Rxc2 g3 Rxc3 Re1 Kf7 a4 Ra3 Rb1 Rxa4 Rxb6 a5 Rb7+ Kf6 Rb8 g5 Rf8+ Kg6 fxg5 Kxg5 h4+ Kg6 Re8 Kf7 Ra8 Ra1+ Kh2 a4 Kh3 a3 Kg2 a2 Ra5 Kf6 Ra8 Kg6 Ra6 Kh5 Ra3 g5 hxg5 Kxg5 Ra4 e5 Ra3 e4 Ra8 e3 Rg8+ Kf6 Rf8+ Ke7 Ra8 e2 Ra7+ Kd6 Ra6+ Kc7 Re6 e1=Q Rxe1 Rxe1 Kf2 a1=Q,D00,Queen's Pawn Game: Mason Attack,3
jpVeDbUQ,True,1487482199605.0,1487483185269.0,55,resign,white,10+0,rsv,1767,juanma206,1713,g3 e5 Bg2 d5 e3 Nc6 Ne2 Nf6 O-O Bc5 b3 O-O Bb2 Bf5 d4 exd4 Nxd4 Nxd4 exd4 Bb6 Nc3 Ne4 Nxe4 dxe4 Re1 Re8 a4 a5 c4 Qd7 c5 Ba7 Rc1 Qd5 Qd2 Rad8 Qxa5 Bb8 Qb5 b6 c6 Qxb5 axb5 Rd5 Bf1 h6 Bc4 Rd6 Re3 Kf8 Rce1 Rdd8 Kg2 f6 Ba3+,A00,Hungarian Opening,1
pzqKLpeT,True,1396271924303.0,1396272766550.0,85,resign,black,9+0,diogen613,1867,tori92,1968,e4 e5 Bc4 Nc6 Nc3 Bc5 Nf3 Nf6 d3 d6 Bg5 h6 Bh4 Be6 Bd5 Bxd5 Nxd5 g5 Bg3 Nxd5 exd5 Ne7 c4 Nf5 O-O Nxg3 hxg3 Qe7 b4 Bb6 a4 a5 c5 dxc5 d4 cxd4 Rfe1 O-O bxa5 Rxa5 Rxe5 Qd6 Qe2 Rxd5 Rxd5 Qxd5 Re1 Ra8 Qe7 Qd6 Qe4 Qc6 Qf5 Qg6 Qg4 f5 Ne5 fxg4 Nxg6 Rxa4 Ne5 h5 Nd7 Ba5 Re5 d3 Nc5 d2 Rxg5+ Kf7 Nxa4 d1=Q+ Kh2 Qxa4 Rxh5 Be1 f3 gxf3 Rf5+ Kg6 Rxf3 Qg4 Rd3 Bf2 Rd6+,C50,Italian Game: Giuoco Pianissimo |  Canal Variation,11
Ajfuq7uC,True,1501250000000.0,1501250000000.0,51,resign,white,10+0,michaelfield,1749,macuv,1716,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 d6 d4 exd4 cxd4 Bb4+ Nc3 Nf6 O-O h6 e5 dxe5 dxe5 Qxd1 Rxd1 Nd7 Nb5 Ba5 b4 Bb6 a4 Nxb4 a5 Bc5 Nxc7+ Kd8 Nxa8 Re8 Bxf7 Rf8 Bg6 Ke7 Nc7 b6 axb6 Bxb6 Nd5+ Nxd5 Rxd5 Bb7 Ba3+ Kd8 Rxd7+ Kxd7 Bxf8,C53,Italian Game: Classical Variation #2,7
qoVcDKtj,True,1502698392894.0,1502699047994.0,59,mate,white,15+0,sarthakmanna,1821,aziz1353,1620,e4 c6 d4 Qc7 Nf3 Nf6 e5 Nd5 c4 Nb4 a3 N4a6 Nc3 b6 Bd3 d6 Bf4 Nd7 exd6 exd6 O-O Be7 Qe2 Nf6 Bg5 O-O c5 Nb8 Ne4 dxc5 Bxf6 Bxf6 Nxf6+ gxf6 dxc5 b5 Nh4 Qf4 g3 Qg5 Nf3 Qg7 Nd4 Bh3 Rfd1 a5 Qh5 Be6 Nf5 Bxf5 Bxf5 Na6 h4 Nxc5 Rd4 Nb3 Rg4 Qxg4 Qxh7#,B12,Caro-Kann Defense,3
nslqDgw1,True,1495260000000.0,1495260000000.0,67,resign,white,10+0,izzlanfarischess,2021,leoilan,1921,e4 e5 Nf3 c6 Nxe5 Qe7 d4 f6 Nf3 Qxe4+ Be2 d5 O-O Ne7 Re1 Qg6 Ne5 Qf5 Bh5+ g6 Bg4 fxe5 Bxf5 Bxf5 Rxe5 Bg7 Re2 Nd7 Bg5 Bf6 Bxf6 Nxf6 Qe1 Ng8 Nd2 O-O-O Nb3 Re8 Nc5 b6 Na4 Kd7 Qb4 Nf6 Rae1 Nc8 Rxe8 Rxe8 Rxe8 Kxe8 Qe1+ Kf7 Nc3 Bxc2 Ne2 Nd6 Nf4 Bf5 f3 g5 g4 Bd7 Nh5 Kg6 Nxf6 Kxf6 Qe5+,C40,King's Pawn Game: Gunderam Gambit,4
WlQbikSp,True,1503324733187.0,1503325804925.0,53,outoftime,white,10+0,hypnowar,1459,dinobzik,1191,e4 c5 Nf3 d6 Bc4 Bg4 O-O Nc6 h3 Bxf3 Qxf3 Nf6 c3 e5 Re1 Be7 d4 exd4 cxd4 cxd4 Bb5 O-O a4 Ne5 Qd1 a6 Bf1 Qd7 Qxd4 h6 Nc3 Qxh3 Re3 Qe6 Nd5 Rac8 Bc4 Nfg4 Nb6 Nxe3 Bxe6 Nc2 Qd5 fxe6 Qxe6+ Rf7 Nxc8 Nc6 Rb1 Bh4 Nxd6 Bxf2+ Kh1,B50,Sicilian Defense,4
zl3icEvw,True,1503834169859.0,1503835613213.0,67,outoftime,white,12+0,tchicota51,1042,jayaram,1159,b3 e5 Bb2 e4 d3 d5 Nd2 Nf6 d4 Ng4 h3 Nh6 e3 Qf6 Ne2 Bb4 a3 Bxd2+ Qxd2 Qb6 Nc3 Be6 g3 Nf5 Bg2 c6 O-O Nd7 a4 a5 Rae1 Nf6 g4 Nh4 Bh1 Qc7 f4 Bd7 Ba3 Be6 Qf2 Ng6 Bg2 Qd7 f5 Bxf5 gxf5 Ne7 Qg3 O-O-O Bc5 Nxf5 Qe5 Rhe8 Qf4 Nh6 Ba7 Qc7 Qg5 Rg8 h4 b6 Bh3+ Nd7 Bxd7+ Rxd7 Rf4,A01,Nimzo-Larsen Attack: Modern Variation #2,3
LH2TmTAI,False,1463850000000.0,1463850000000.0,27,resign,white,8+0,evan_h1234,1328,wolt95,1500,e4 e5 Nf3 Nc6 Nc3 a6 d3 Nf6 Be2 Bb4 Bd2 Nd4 Nxe5 Nxe2 Qxe2 c5 Qf3 d6 Nd5 Qa5 Nc4 Bxd2+ Nxd2 Bg4 Nxf6+ gxf6 Qxg4,C46,Three Knights Opening,5
WKr0hmzw,True,1468006841922.0,1468007369021.0,52,mate,black,10+0,raposaakatsuki,1543,wellsaid,2087,d3 d5 g3 e5 Bg2 Nf6 Nc3 Bb4 a3 Ba5 b4 Bb6 e3 O-O Nf3 Qd6 O-O Nc6 Bb2 a6 d4 exd4 exd4 Re8 Na4 Ba7 Re1 Rxe1+ Qxe1 Bf5 Rd1 Bxc2 Rd2 Bxa4 Qe3 Re8 Qd3 Ne4 Ng5 Nxg5 Re2 Rxe2 Qxe2 Nxd4 Bxd4 Bxd4 Bxd5 Qxd5 h4 Bc6 Kf1 Qh1#,A00,Mieses Opening,1
